CC Nombre,CC,DM,Fecha de Apertura,Rolling,TPLH,IPLH,Labor,Dif Labor%,Ventas,Dif ppto%,OMT #,NPS,Conexión,Bebida,CTC,Costo,Dif costo%,EBITDA,Dif EBITDA %,DT Time,Tiempo DT AA,Municipio o Delegación,Cobertura,Formato,Formato - Comercial,TIER,Corte YTD,Latitud,Longitud
Parque Tepeyac Piso 1,38937,Veronica García,10/11/2022,8.10%,8.4,21.3,13.60%,0.70%,$9.6M,-3.80%,17.9,62.5,36.90%,53.00%,10.40%,35.20%,-1.60%,27.40%,1.50%,No hay valores,No hay valores,Gustavo A. Madero,Ciudad De México,Cafe,Mall,C2,30/04/2026,19.47774424,-99.09910405
Parque Tepeyac Piso 2,38965,Veronica García,14/09/2023,0.00%,7,15.8,16.50%,1.00%,$5.1M,-8.20%,-11.1,74.6,48.20%,64.00%,3.00%,35.90%,3.30%,18.90%,-5.10%,No hay valores,No hay valores,Gustavo A. Madero,Ciudad De México,Cafe,Mall,C2,30/04/2026,19.47784704,-99.09905673
Plaza Aeropuerto,38924,Veronica García,24/09/2022,8.20%,5.7,13.8,16.10%,0.20%,$5.7M,-7.40%,-15.4,74.1,55.60%,66.00%,15.20%,37.90%,3.40%,20.30%,-4.40%,No hay valores,No hay valores,Venustiano Carranza,Ciudad De México,Kiosko ,Shopping Center,C2,30/04/2026,19.42118392,-99.0966938
Plaza Tepeyac,38811,Veronica García,18/06/2018,41.10%,9.6,24.2,12.90%,-0.20%,$7.9M,-8.70%,-38.2,58.6,40.90%,57.00%,13.90%,37.60%,4.50%,23.50%,-4.40%,No hay valores,No hay valores,Gustavo A. Madero,Ciudad De México,Kiosko ,Hypermarket,C2,30/04/2026,19.47171664,-99.1193661
Tapo Puerta Oriente,38992,Veronica García,30/12/2023,29.40%,7,15.1,14.30%,-1.30%,$7.4M,12.20%,8.8,63.6,56.40%,54.00%,8.80%,34.70%,-1.80%,21.10%,2.30%,No hay valores,No hay valores,Venustiano Carranza,Ciudad De México,Cafe,Train & Bus Stations,C2,30/04/2026,19.43085206,-99.11476917
Cetram 4 Caminos,38695,Yazmin Chabela,09/12/2016,37.50%,7.6,15.3,14.50%,-0.80%,$7.8M,-5.10%,6.5,56.7,39.40%,54.00%,6.30%,37.90%,-0.10%,21.60%,0.30%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Train & Bus Stations,C1,30/04/2026,19.46049483,-99.21517073
Echegaray,38197,Yazmin Chabela,05/09/2006,20.10%,5.9,14.9,15.00%,-6.00%,$8.1M,33.60%,-35.1,65.6,51.40%,59.00%,11.10%,34.90%,0.60%,22.70%,3.80%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Neighborhood,C2,30/04/2026,19.48699554,-99.2329265
El Rosario,38458,Yazmin Chabela,28/06/2012,33.10%,7.8,16.7,14.00%,-0.40%,$6.7M,0.00%,-17.1,58.5,44.30%,58.00%,4.10%,37.80%,2.70%,22.90%,-2.60%,No hay valores,No hay valores,Azcapotzalco,Ciudad De México,Kiosko ,Hypermarket,C1,30/04/2026,19.50335206,-99.2034101
Gustavo Baz 29,38770,Yazmin Chabela,04/02/2018,12.70%,5.7,13.7,20.80%,2.10%,$4.2M,-16.00%,-19,81.7,56.60%,64.00%,6.70%,39.50%,0.60%,13.30%,-2.90%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Shopping Center,C1,30/04/2026,19.50908671,-99.21982398
Parque Toreo,38561,Yazmin Chabela,28/11/2014,49.80%,7.1,15.6,14.20%,0.50%,$9.0M,-7.20%,-29.9,59.9,44.80%,56.00%,5.80%,34.90%,-0.40%,24.10%,0.30%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Mall,C2,30/04/2026,19.45468934,-99.21902146
Parque Toreo II,38590,Yazmin Chabela,29/08/2015,26.90%,6.4,14.5,14.40%,0.90%,$7.6M,-12.10%,-8.4,67.3,51.50%,59.00%,7.60%,33.90%,-1.20%,25.60%,-0.50%,No hay valores,No hay valores,Naucalpan,Estado De México,Kiosko ,Mall,C2,30/04/2026,19.45465704,-99.219035
Periferico Satélite DT,38176,Yazmin Chabela,23/05/2022,43.20%,4.3,10.8,23.80%,9.20%,$4.7M,-54.20%,-270.7,63,52.00%,62.00%,18.00%,37.10%,1.90%,0.70%,-27.30%,01:42,01:24,Naucalpan,Estado De México,Drive_Thru,Highway,C2,30/04/2026,19.50731704,-99.23714076
Plaza Satelite,38427,Yazmin Chabela,12/11/2011,24.70%,6,14.4,16.10%,2.20%,$8.2M,-10.90%,-7.2,74.1,46.30%,66.00%,5.00%,33.80%,-2.80%,25.10%,5.60%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Mall,C2,30/04/2026,19.51106961,-99.23339456
Plaza Satelite II N1,38859,Yazmin Chabela,11/02/2019,31.70%,5.5,13.1,17.30%,3.50%,$6.5M,-21.40%,-28.7,62.5,45.00%,56.00%,4.60%,35.90%,-1.10%,12.90%,-3.20%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Mall,C2,30/04/2026,19.51026426,-99.23423103
Samara Satélite,43152,Yazmin Chabela,26/08/2025,11.10%,5.8,12.9,18.80%,-5.70%,$3.7M,7.40%,226.1,71.3,57.10%,65.00%,9.50%,38.20%,5.20%,8.00%,8.00%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Mall,C1,30/04/2026,19.50621108,-99.23568797
Satelite ,38117,Yazmin Chabela,28/09/2003,39.90%,4.6,10.6,29.70%,11.20%,$3.3M,-25.50%,-41.1,71.4,60.70%,66.00%,8.80%,41.90%,3.00%,-16.30%,-16.00%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Street,C1,30/04/2026,19.50687435,-99.23383088
Satelite Centro Civico,38475,Yazmin Chabela,06/12/2012,70.30%,7,16.9,15.70%,0.50%,$7.8M,-5.50%,-1.4,65.8,48.40%,56.00%,11.30%,37.80%,-0.60%,23.10%,-0.60%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Neighborhood,C1,30/04/2026,19.51066846,-99.22947256
Viveros de la Loma,38656,Yazmin Chabela,28/07/2016,47.20%,5.3,12.8,16.40%,1.90%,$10.3M,-17.10%,-140.8,73.7,56.40%,62.00%,14.80%,34.90%,-0.90%,20.10%,-5.00%,01:20,01:15,Tlalnepantla,Estado De México,Drive_Thru,Neighborhood,C2,30/04/2026,19.52537517,-99.22494146
Atizapan,43043,Yazmin García,24/05/2024,47.90%,8.2,20.7,15.80%,-1.10%,$5.1M,-3.80%,-22.3,80.5,51.40%,67.00%,13.20%,35.50%,-0.80%,23.70%,2.30%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Street,C1,30/04/2026,19.5546593,-99.26766941
Bellavista,38149,Yazmin García,31/03/2005,6.10%,5.9,14.6,17.10%,0.50%,$5.4M,-6.80%,-9.6,71.3,58.80%,61.00%,12.00%,35.30%,-1.70%,20.10%,2.80%,No hay valores,No hay valores,Tlalnepantla,Estado De México,Cafe,Shopping Center,C2,30/04/2026,19.51894704,-99.24687786
Centro Comercial Lomas Verdes,38394,Yazmin García,12/11/2010,2.30%,5.8,12.7,19.00%,0.40%,$4.3M,-7.70%,-20.5,77.7,51.40%,63.00%,10.70%,40.10%,1.20%,11.40%,-2.40%,No hay valores,No hay valores,Naucalpan,Estado De México,Kiosko ,Shopping Center,C1,30/04/2026,19.49609752,-99.2469041
City Center Esmeralda,38535,Yazmin García,05/06/2014,82.00%,6.6,15.7,14.00%,0.70%,$14.0M,-5.00%,22.3,51.2,47.70%,50.00%,12.70%,33.00%,-3.90%,31.20%,2.50%,01:13,01:27,Atizapan De Zaragoza,Estado De México,Drive_Thru,Hypermarket,C2,30/04/2026,19.54964287,-99.28755274
Espacio Vista del Valle,38507,Yazmin García,19/09/2013,55.90%,4.9,11.7,24.10%,5.60%,$3.5M,-8.00%,-19.8,71.8,61.00%,58.00%,11.80%,38.80%,1.10%,7.10%,-6.00%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Shopping Center,C2,30/04/2026,19.47730506,-99.26872646
Galerias Atizapan,38363,Yazmin García,20/03/2009,50.70%,6.5,15.5,15.60%,1.50%,$7.9M,-3.60%,9.7,66,41.70%,50.00%,9.90%,34.20%,-0.80%,25.50%,-0.70%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Mall,C2,30/04/2026,19.54919506,-99.27443927
Lomas Verdes ,38119,Yazmin García,31/10/2003,42.90%,6.6,15.3,15.60%,0.60%,$6.0M,-4.30%,-15.3,61.5,48.60%,59.00%,12.80%,35.60%,-2.40%,22.80%,2.10%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Street,C1,30/04/2026,19.50654087,-99.25921766
Lomas Verdes II,38270,Yazmin García,15/11/2007,27.20%,5.7,14,19.00%,1.00%,$4.3M,-8.60%,-14.5,84.1,50.90%,71.00%,15.90%,36.40%,1.70%,9.70%,-2.50%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Shopping Center,C2,30/04/2026,19.51505213,-99.26625577
San Mateo,38266,Yazmin García,31/10/2007,46.00%,6.5,16.7,17.20%,0.80%,$5.2M,-11.60%,-36.5,61.1,47.10%,60.00%,19.90%,41.90%,5.20%,11.70%,-6.30%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Hypermarket,C1,30/04/2026,19.48381649,-99.249929
Star Medica Lomas Verdes,38925,Yazmin García,30/09/2022,11.70%,4.2,10.9,22.60%,0.40%,$2.9M,-5.70%,-17.8,77.9,71.10%,70.00%,11.50%,38.40%,0.30%,15.00%,5.60%,No hay valores,No hay valores,Naucalpan,Estado De México,Kiosko ,Health Care,C2,30/04/2026,19.49898526,-99.25087154
Town Center Nicolás Romero,43130,Yazmin García,23/12/2024,0.00%,5.5,13.9,16.40%,-2.00%,$5.6M,9.90%,4.9,81.8,67.90%,76.00%,10.80%,33.20%,-2.70%,21.10%,3.30%,No hay valores,No hay valores,Nicolás Romero,Estado De México,Cafe,Hypermarket,C1,30/04/2026,19.62665084,-99.2932417
Zona Azul,38115,Yazmin García,15/08/2003,70.10%,5.6,12.7,20.50%,3.20%,$3.7M,-12.40%,-25.7,61.4,53.80%,59.00%,11.90%,39.60%,1.90%,12.10%,-4.30%,No hay valores,No hay valores,Naucalpan,Estado De México,Cafe,Neighborhood,C1,30/04/2026,19.50634876,-99.24655516
Zona Esmeralda,38142,Yazmin García,17/12/2004,10.30%,5.5,13.1,17.60%,1.10%,$5.2M,-10.80%,-18.4,67.3,49.50%,57.00%,13.60%,35.60%,-1.00%,20.30%,-0.80%,No hay valores,No hay valores,Atizapan De Zaragoza,Estado De México,Cafe,Shopping Center,C2,30/04/2026,19.55907624,-99.29683123
